# time, vmax, integral, width, baseline, dt
24.570482,167.600006,6562.837891,53.181328,2.400000,0.115797
24.817488,174.042862,6701.052246,53.054764,1.957143,0.247005
24.931454,170.457138,6901.992188,56.400383,2.542857,0.113966
24.948860,165.285721,3620.620850,28.796661,1.714286,0.017406
24.972828,177.442856,7048.955566,56.792885,1.557143,0.023968
25.000864,173.142853,7007.352051,57.690468,1.857143,0.028036
25.048109,169.728577,6900.233398,56.988441,2.271429,0.047245
25.146084,168.042862,7042.163086,58.459724,1.957143,0.097975
25.153484,175.128571,6478.524414,51.609329,1.871429,0.007401
25.431746,166.871429,6374.399902,52.605545,2.128572,0.278261
25.490458,169.642853,6610.403320,53.875008,2.357143,0.058712
26.181747,171.628571,6961.005859,58.223801,2.371428,0.691290
26.329294,169.257141,6982.978027,56.388573,1.742857,0.147547
26.409582,170.000000,6579.923340,52.499992,2.000000,0.080288
26.442448,175.914291,6860.270020,56.308884,2.085714,0.032866
26.537661,169.699997,6932.770020,57.584572,2.300000,0.095213
27.024021,168.657150,6602.619629,53.538094,2.342857,0.486361
27.149155,166.500000,6825.650879,56.077141,2.500000,0.125134
27.313156,167.271423,6782.745605,56.162140,2.728571,0.164001
27.401680,175.500000,7024.660156,57.734520,1.500000,0.088524
28.015390,168.500000,6635.407227,54.440468,1.500000,0.613710
28.114742,162.414291,3371.310059,27.830948,2.585714,0.099352
28.379503,166.771423,6768.240723,58.202675,2.228571,0.264761
28.421417,170.657150,6487.757324,53.014290,2.342857,0.041914
28.542782,168.742859,6548.661621,53.619781,2.257143,0.121365
28.590981,172.757141,6606.511230,53.769043,2.242857,0.048199
28.777216,168.128571,6479.669922,53.790710,1.871429,0.186235
28.811499,175.285721,6645.729004,52.851776,1.714286,0.034283
29.044485,167.928574,6464.916992,53.447327,2.071429,0.232986
29.291971,148.199997,2868.435791,25.529434,1.800000,0.247486
29.315687,164.199997,3751.959473,29.164871,1.800000,0.023716
29.405554,164.957138,3615.022461,29.698997,2.042857,0.089867
29.410585,168.428574,6958.493164,58.998215,2.571429,0.005032
29.462877,163.685715,3619.227783,29.092949,2.314286,0.052292
29.517290,157.899994,3070.531494,25.386711,2.100000,0.054413
29.686626,141.800003,5557.201172,50.850006,2.200000,0.169336
29.710747,165.114288,3644.965576,28.687996,1.885714,0.024120
30.401775,169.642853,6210.880859,49.204758,2.357143,0.691029
30.716957,167.514282,6585.020996,53.912857,2.485714,0.315182
30.950832,165.685715,6483.968262,53.096161,2.314286,0.233875
31.092604,167.000000,6938.547852,57.978577,2.000000,0.141771
31.252304,106.857140,2105.556152,25.796364,2.142857,0.159700
31.330574,150.828568,3092.934570,25.733337,2.171429,0.078270
31.557863,172.685715,6519.509277,53.045708,2.314286,0.227289
31.643108,171.157150,6612.468262,52.102150,1.842857,0.085245
31.739744,171.642853,6922.520020,56.960716,2.357143,0.096636
31.861214,171.057144,6607.514648,53.091270,1.942857,0.121469
32.098858,169.685715,6460.559570,52.849144,2.314286,0.237644
32.166954,170.628571,6498.318359,51.951424,2.371428,0.068096
32.856243,169.657150,5669.996094,44.657135,2.342857,0.689289
32.997089,171.071426,6841.287109,57.773811,1.928571,0.140846
33.119110,173.371429,6927.797363,57.817322,2.628572,0.122021
33.201622,170.671432,6565.148438,52.886429,2.328571,0.082512
33.283089,165.585709,6539.220215,52.837860,2.414286,0.081467
33.417622,170.257141,6491.656250,53.018669,2.742857,0.134533
33.614746,171.071426,6564.672852,51.178574,1.928571,0.197124
33.763702,176.642853,6584.691406,52.207916,1.357143,0.148956
33.892632,170.385712,6570.654785,51.943420,2.614286,0.128929
34.044933,173.985718,6484.981445,51.517662,2.014286,0.152302
34.153831,169.914291,6567.549805,52.915718,2.085714,0.108898
34.313747,167.214279,3507.163574,27.881729,2.785714,0.159916
34.340202,166.514282,6349.495605,52.523430,2.485714,0.026455
34.416622,170.614288,6479.962891,52.520714,2.385714,0.076420
34.533455,171.399994,6638.026367,54.094505,1.600000,0.116833
34.645119,176.357147,6663.347168,52.284813,1.642857,0.111664
34.658363,169.671432,3988.124512,30.246330,2.328571,0.013245
34.824207,151.899994,3159.592041,26.856422,2.100000,0.165844
34.856907,173.728577,6629.689941,53.202148,1.271429,0.032700
35.183372,171.471436,6486.241211,52.435005,2.528571,0.326466
35.206463,168.500000,6580.783203,53.417862,2.500000,0.023090
35.424461,170.357147,6731.040039,53.982147,1.642857,0.217999
35.452454,166.957138,6471.583984,54.043571,3.042857,0.027992
36.150753,189.485718,6164.250000,47.365707,2.514286,0.698299
36.187675,178.100006,7015.585938,56.929283,1.900000,0.036922
36.536987,143.842850,2740.523926,25.076431,2.157143,0.349312
36.578079,168.957138,6955.046875,57.828003,2.042857,0.041092
36.648865,168.485718,6694.750000,53.819046,1.514286,0.070786
36.923717,167.185715,6509.036133,52.720184,1.814286,0.274853
36.942936,171.971436,6877.003418,55.955330,2.028571,0.019218
37.029865,175.142853,6757.209961,52.128571,1.857143,0.086929
